,age,gender,marital,date_granted,label,installment,amount_approved,total_delayed_payment,total_early_payment,num_negstatus_2years,num_negstatus_before_2years,negstatus_guarantor_last_12month,negstatus_guarantor_before_12month,past_due_6_month,past_due_6_18_month,past_due_18_more_month,undue_12_month,undue_12_more_month,default_12_month,default_12_more_month,age_last_negative_status,num_loans,max_installment_amount,oldest_loan_age,complete_last_payment_age,num_prev_0_1_year_loans,num_prev_1_3_year_loans,guarantor_role,completed_loan_ratio,outstanding_debt_ratio,current_installments,out,worst_negative_status_last_2years_0,worst_negative_status_last_2years_1,worst_negative_status_last_2years_2,worst_negative_status_last_2years_3
19,47,1,0,20210712,0,10,72.8,87,337,9,1,4,0,3,6,1,0,0,0,0,31,12,45.7,2602,252,4,3,1,0.3286630694533014,0.3736440080589178,90.4,0,0,1,0,0
20,43,1,0,20211120,0,20,837.2,79,73,1,1,4,0,0,1,1,0,0,0,0,501,6,230.6,1712,203,2,4,1,0.587916548,0.2713669651755511,14.1,0,0,1,0,0
21,79,1,1,20211221,0,48,992.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64.2,1313,0,1,0,1,0,0.2786885245901639,64.2,0,1,0,0,0
22,62,1,1,20211009,0,12,341.6,0,278,0,0,0,0,0,0,0,0,0,0,0,0,1,23.2,1983,1165,1,0,1,1,0,0,0,1,0,0,0
23,69,1,0,20210805,0,12,88.9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3,8.7,4075,626,2,0,1,0.1197436132779427,0.9166666666666666,8.1,0,1,0,0,0
24,46,1,0,20211113,0,24,920.9,19,0,3,42,0,0,1,1,39,0,4,0,0,164,6,266.7,4236,73,2,2,0,0.4655526722746985,0.6008846209463458,27.4,0,0,1,0,0
25,34,1,0,20211008,0,12,700.2,0,141,0,36,3,0,0,0,24,0,3,0,9,985,5,55.9,2638,954,3,2,1,0.2671405474828853,0.6135712088838442,19,0,1,0,0,0
26,47,1,0,20210602,0,24,377.5,260,55,0,1,0,0,0,0,1,0,0,0,0,1008,7,74.9,4920,117,1,2,0,0.5691541510038314,0.7117563391514475,90.8,0,1,0,0,0
27,38,1,0,20210830,0,12,462.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12.3,1763,0,2,0,1,0,1,37,0,1,0,0,0
28,36,1,0,20210312,0,18,644.2,0,0,7,4,0,0,1,1,4,0,0,0,0,164,8,36.2,1602,0,5,2,0,0,0.7375646800174767,95.2,0,0,1,0,0
29,37,1,1,20210511,0,14,168.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7,865,0,1,2,1,0,0.2162162162162162,0.7,0,1,0,0,0
30,40,1,1,20210825,0,20,177.8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23.5,1493,362,2,1,0,0.4917189756004035,0.8055555555555555,23.5,0,1,0,0,0
32,35,1,0,20210428,0,24,202.5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,36.3,1866,791,2,0,0,0.5532623919388326,0.2233365842128281,0,0,1,0,0,0
33,54,1,1,20210725,0,16,710.2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,77.4,1308,0,1,1,0,0,0.695125338,93.9,0,1,0,0,0
34,57,1,1,20210920,0,12,577.4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,45.5,2287,1208,3,1,1,0.4636410269133493,0.6074814360957788,45.5,0,1,0,0,0
35,35,1,0,20210524,0,36,304.3,499,0,3,3,3,2,0,2,1,0,1,0,1,252,6,17.5,1713,848,1,3,1,0.3352143041917347,0.384338544,14.1,0,0,1,0,0
36,34,0,0,20211207,0,24,82.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.9,544,0,1,1,0,0,0.788235294,15.9,0,1,0,0,0
38,42,1,0,20210902,0,24,549.4,176,0,2,0,9,5,1,0,1,0,0,0,0,141,14,256.1,3494,58,1,5,1,0.213718238,0.4707907333007457,117.1,0,0,1,0,0
39,49,0,0,20210509,0,17,569.3,2,0,0,0,4,10,0,0,0,0,0,0,0,0,3,52.3,1383,274,2,1,1,0.2658013240714011,0.6364561787601201,43,0,1,0,0,0
40,37,1,0,20210907,0,21,437.4,272,0,4,0,0,0,0,3,0,1,0,0,0,271,2,50.9,850,213,1,2,0,0.024803944,0.5405405405405406,50.9,0,0,0,1,0
41,34,1,1,20210908,0,26,524.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.9,75,0,2,0,0,0,0.9508196721311476,28.9,0,1,0,0,0
42,54,1,0,20210718,0,18,1092.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40.3,2874,1048,1,0,1,1,0,0,0,1,0,0,0
43,36,1,1,20211214,0,20,330.8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,11.7,3824,0,1,1,1,0,0.062112986,12.5,0,1,0,0,0
44,38,0,1,20211004,0,47,503.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42.8,3447,0,1,3,1,0,0.299334232,6.4,0,1,0,0,0
45,40,1,0,20210622,0,36,188.7,230,433,4,10,8,17,4,0,10,0,0,0,0,20,15,63.8,2132,43,6,5,1,0.1236221937074977,0.5659790286146771,175,0,0,1,0,0
46,42,1,1,20211226,0,30,248.1,78,292,0,0,0,0,0,0,0,0,0,0,0,0,4,45.9,1776,380,1,1,1,1,0,0,0,1,0,0,0
48,36,1,0,20211011,0,10,423.5,21,315,13,5,0,4,1,4,11,0,0,0,0,180,5,39.2,2078,83,1,1,1,0.5764296877910532,0.4920634920634921,20.3,0,0,1,0,0
49,74,1,1,20210504,0,17,1177.8,0,0,4,0,4,1,1,2,0,0,0,0,0,88,2,23.7,611,0,1,2,1,0,0.5630947729210558,42.1,0,0,1,0,0
50,38,1,0,20210320,0,36,1049.2,394,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,2433,269,2,1,0,0.514701611,0.7027027027027027,29.5,0,1,0,0,0
51,42,0,0,20210915,0,16,1049.8,0,0,1,0,0,1,0,1,0,0,0,0,0,351,12,75.5,3143,245,2,4,1,0.084934681,0.5103718022356993,67.6,0,0,1,0,0
52,48,1,1,20211107,0,30,418.6,235,0,7,15,0,0,0,1,9,0,12,0,0,331,7,62.3,1887,60,2,1,1,0.5130048483396695,0.6438687588475572,17,0,0,0,1,0
53,40,1,1,20211020,0,30,420.1,81,45,0,0,0,0,0,0,0,0,0,0,0,0,12,41,2680,350,3,2,1,0.337411464,0.430237177,87.7,0,1,0,0,0
54,76,1,1,20211102,0,12,165.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19.7,3738,0,1,0,0,0,0,0,0,1,0,0,0
55,56,1,1,20211123,0,24,167.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37.6,2688,862,1,0,0,0.1968441469760397,0.639344262,37.6,0,1,0,0,0
56,43,1,1,20210310,0,33,1259,0,0,0,13,0,0,0,0,13,0,0,0,0,1989,4,17.2,3338,0,2,1,0,0,0.64,0,0,1,0,0,0
57,37,1,0,20210408,0,24,830.4,86,0,0,0,5,0,0,0,0,0,0,0,0,0,3,66.7,1738,921,1,2,1,0.1443573754926436,0.4590163934426229,0,0,1,0,0,0
58,62,1,1,20211216,0,16,496.1,0,74,0,0,0,0,0,0,0,0,0,0,0,0,3,55.6,1231,718,1,2,1,0.022959408,0.3216391365195479,55.6,0,1,0,0,0
59,43,1,1,20210906,0,24,175,0,0,1,0,0,0,0,0,1,0,0,0,0,648,8,41.1,2502,653,1,4,1,0.3763247613460516,0.5161748687595993,15.2,0,0,1,0,0
60,71,1,1,20210729,0,24,783,221,0,0,2,0,0,0,0,1,0,1,0,0,865,4,54.2,2149,590,3,0,0,0.9942003632108756,0.4166666666666666,0.7,0,1,0,0,0
61,49,1,0,20210326,0,36,419.7,38,16,1,0,0,0,0,1,0,0,0,0,0,422,4,208.5,2347,300,2,0,1,0.5513283054818917,0.4158239868681048,0.7,0,0,1,0,0
62,41,1,0,20211005,0,24,939.3,73,0,0,2,5,1,0,0,2,0,0,0,0,1392,3,114,2411,189,1,2,1,0.6043645826784814,0.3055555555555555,0,0,1,0,0,0
63,35,1,0,20210622,0,12,509.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,58.5,1072,0,2,2,0,0,0.7644302993079025,131.1,0,1,0,0,0
64,38,1,0,20210815,0,24,177.8,38,0,0,2,0,0,0,0,2,0,0,0,0,1387,2,25.3,1545,777,1,1,1,0.08705312,0.6229508196721311,25.3,0,1,0,0,0
65,58,1,1,20210610,0,18,943.7,268,0,5,7,0,0,0,0,12,0,0,0,0,591,3,13.2,1655,500,2,0,0,0.7789040048849498,0.5416666666666665,0,0,0,1,0,0
66,69,1,1,20210918,0,24,689.4,0,96,0,0,0,0,0,0,0,0,0,0,0,0,5,27.8,3243,959,2,1,0,0.5721021758453785,0.8263289526455523,22.2,0,1,0,0,0
67,53,0,0,20210601,0,24,188.7,54,0,0,0,1,0,0,0,0,0,0,0,0,0,3,39.3,2186,1036,2,1,1,0.3951523996322288,0.6230499072378306,39.3,0,1,0,0,0
69,50,1,1,20210922,0,60,874.8,774,0,0,0,2,0,0,0,0,0,0,0,0,0,3,50,2102,69,2,0,1,0.8739082426125593,0.7222222222222222,13.6,0,1,0,0,0
70,39,0,1,20210711,0,22,1092.6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,122.3,598,7,2,3,0,0.3915852174568924,0.6264040149456358,50.6,0,1,0,0,0
71,41,1,1,20210614,0,24,377.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.5,588,0,1,1,1,0,0.5918367346938777,36.5,0,1,0,0,0
72,34,1,0,20210909,0,30,577.4,54,3,8,0,13,7,0,6,2,0,0,0,0,239,7,39.6,2290,376,3,2,1,0.4577342695971998,0.788256613,79.6,0,0,1,0,0
73,47,1,0,20210813,0,48,889.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.6,2419,0,1,0,1,0,0.058823529,5.6,0,1,0,0,0
74,51,1,1,20211007,0,18,683.1,0,0,0,1,0,0,0,0,1,0,0,0,0,953,1,17.6,2239,0,1,0,0,0,0.5647058823529411,17.6,0,1,0,0,0
75,34,1,1,20210302,0,14,293.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.5,1287,0,1,0,0,0,0.1730769230769231,0,0,1,0,0,0
76,43,1,1,20210407,0,22,1215.2,0,138,9,7,0,11,5,4,7,0,0,0,0,7,7,59.9,2142,676,3,2,1,0.079172915,0.5826463568073078,28.3,0,0,1,0,0
77,41,1,0,20210819,0,24,533.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,108.9,1397,0,1,0,0,0,0.684931507,108.9,0,1,0,0,0
78,41,1,1,20210406,0,14,951.9,242,0,0,11,0,0,0,0,11,0,0,0,0,1651,7,46.7,2351,244,2,1,1,0.9596489594445812,0.7741935483870966,0.8,0,1,0,0,0
79,46,1,0,20210718,0,19,295,906,0,5,21,0,0,0,0,4,0,15,0,7,425,1,19,5200,394,1,0,0,1,0,0,0,0,0,0,1
80,38,0,1,20211105,0,60,1004.7,213,0,0,1,0,0,0,0,1,0,0,0,0,1072,2,26,2229,920,1,1,0,0.5957442405975384,0.2777777777777778,0,0,1,0,0,0
81,54,1,1,20210817,0,60,1066.9,52,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57.8,1990,842,1,1,1,0.3015678187602799,0.4324324324324324,0,0,1,0,0,0
82,72,1,0,20210822,0,17,711.3,409,0,6,2,0,0,0,6,2,0,0,0,0,328,1,8.8,1810,305,1,0,0,1,0,0,0,0,1,0,0
83,34,0,0,20211005,0,22,1024.7,0,104,0,0,0,0,0,0,0,0,0,0,0,0,2,43.4,747,366,2,1,0,0.3152488004320575,0.6944444444444443,41.9,0,1,0,0,0
84,61,1,1,20210620,0,22,943.7,0,0,0,1,0,0,0,0,1,0,0,0,0,2337,4,51,3142,994,1,1,1,0.2591615623770327,0.2972972972972972,0,0,1,0,0,0
85,51,1,1,20211225,0,24,330.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.8,632,0,1,1,0,0,0.5714285714285715,20.8,0,1,0,0,0
86,34,1,1,20211006,0,24,939.3,187,0,6,1,0,0,0,0,3,2,2,0,0,321,8,37.7,1839,556,3,4,1,0.1710027175221521,0.5685341306939634,70.8,0,0,0,1,0
88,45,1,1,20210917,0,24,349.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,80.3,1898,0,1,0,1,0,0.2563391163044267,81,0,1,0,0,0
89,56,1,1,20210602,0,20,566.2,241,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.3,1989,652,1,0,1,1,0,0,0,1,0,0,0
90,53,1,1,20211023,0,24,247.6,424,16,0,0,0,22,0,0,0,0,0,0,0,0,9,98.3,3054,109,1,3,1,0.451645408,0.3784275533320956,55.1,0,1,0,0,0
91,35,1,1,20211117,0,36,259.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17.4,791,377,2,3,1,0.4441597393762662,0.4616631233907778,0.5,0,1,0,0,0
92,35,0,1,20211217,0,17,117.4,84,0,0,1,0,0,0,0,1,0,0,0,0,1252,2,21.4,2319,413,1,0,1,1,0,0,0,1,0,0,0
93,36,0,1,20210813,0,44,1066.9,0,0,7,0,0,0,0,6,1,0,0,0,0,379,5,88.7,1270,0,1,0,1,0,0.7176399328920351,304.9,0,0,1,0,0
94,40,0,1,20211214,0,10,119.1,0,4,6,14,0,0,0,5,15,0,0,0,0,334,5,26.3,3475,926,3,1,0,0.1968712474648143,0.7082379200695844,26.3,0,0,1,0,0
95,53,1,0,20211123,0,24,502.3,208,13,0,7,0,0,0,0,7,0,0,0,0,1210,9,103.9,2595,220,4,1,1,0.6576435670524086,0.7485601630901516,116.3,0,1,0,0,0
96,44,0,0,20211118,0,18,602.8,83,16,0,0,0,0,0,0,0,0,0,0,0,0,3,106.2,1694,588,1,1,0,1,0,0,0,1,0,0,0
98,47,1,1,20210602,0,24,377.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.7,2465,0,1,0,1,0,0.5464480874316939,19.7,0,1,0,0,0
99,36,1,0,20211113,0,24,602.8,0,133,0,10,0,1,0,0,9,0,0,0,0,896,3,49.4,1962,634,2,0,1,0.4249537762953021,0.9166666666666666,49.4,0,1,0,0,0
102,37,1,0,20211005,0,48,853.9,0,0,2,38,0,0,0,0,1,0,30,0,7,615,3,36.6,2673,1168,1,1,1,0.1403456002369217,0.3888888888888888,0,0,0,0,1,0
103,45,1,1,20210509,0,24,392.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53.7,822,0,1,2,0,0,0.3249500432445273,0,0,1,0,0,0
104,48,1,0,20210514,0,10,392.6,4,98,0,0,6,0,0,0,0,0,0,0,0,0,7,24,1733,504,3,4,1,0.3572830726179282,0.5092450002689761,0,0,1,0,0,0
105,35,1,1,20211008,0,36,853.9,42,0,0,3,12,0,0,0,3,0,0,0,0,1440,3,19.8,1771,268,3,0,1,0.6575146965036792,0.6120017603710854,0,0,1,0,0,0
106,49,1,0,20211019,0,14,358.6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,5.8,626,0,1,2,1,0,0.2916666666666666,0,0,1,0,0,0
107,49,0,1,20211125,0,19,83.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20.8,989,0,3,2,0,0,0.632036094,41.6,0,1,0,0,0
108,39,1,1,20210510,0,24,196.3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34.9,1642,1076,1,1,1,0.030458248,0.8032786885245902,34.9,0,1,0,0,0
109,50,1,0,20210417,0,36,607.6,72,0,2,0,15,4,1,0,1,0,0,0,0,79,5,38.3,1677,170,2,2,1,0.5171260892006262,0.6696486349680816,16.7,0,0,1,0,0
110,42,1,1,20210421,0,12,739.3,193,0,34,35,0,0,5,13,41,0,0,0,0,21,4,122.9,3171,460,1,0,0,0.262977396,0.273972603,33.3,0,0,1,0,0
111,42,0,1,20211222,0,14,463.1,0,0,2,10,0,0,0,1,11,0,0,0,0,538,1,11.1,1700,0,1,0,0,0,0,0,0,0,1,0,0
112,35,0,1,20210513,0,24,98.2,253,0,5,5,0,0,0,1,7,1,1,0,0,355,1,9.6,2407,328,1,0,0,1,0,0,0,0,0,1,0
113,46,1,0,20210323,0,23,314.8,18,602,0,0,0,2,0,0,0,0,0,0,0,0,14,74.4,1974,36,4,3,1,0.5173414064115216,0.5651793481333062,136.6,0,1,0,0,0
115,53,1,0,20211218,0,24,330.8,0,0,4,0,4,3,0,3,0,0,0,0,0,307,7,50.2,5054,261,1,2,1,0.5404975924178402,0.3934426229508196,50.2,0,0,1,0,0
116,34,1,0,20211116,0,12,167.4,0,598,0,0,0,0,0,0,0,0,0,0,0,0,8,36.4,1620,757,1,4,1,0.3324028212677816,0.393443819,52.3,0,1,0,0,0
117,49,1,0,20210729,0,24,364.2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,5,189.7,2270,710,2,1,1,0.2477882542403597,0.6980848896129833,55.6,0,1,0,0,0
118,50,1,1,20211113,0,18,167.4,672,105,15,38,0,5,0,2,20,0,25,0,0,379,9,23.6,3167,321,2,0,0,0.919630321,0.7165986994826895,5.9,0,0,0,1,0
120,37,0,1,20211015,0,22,138.3,74,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21.3,1407,238,2,0,0,0.7572957894662478,0.9166666666666664,6.8,0,1,0,0,0
121,45,0,1,20211205,0,19,272.9,787,0,5,17,0,0,0,0,14,0,8,0,0,485,7,48.3,2814,408,1,2,0,0.540933928,0.5494592683713894,48.3,0,0,0,1,0
122,45,0,1,20210521,0,20,588.9,86,0,0,0,0,2,0,0,0,0,0,0,0,0,3,28,1689,163,2,1,1,0.7318989371113868,0.7837837837837838,8.7,0,1,0,0,0
123,36,1,1,20210906,0,10,87.5,74,70,0,0,0,0,0,0,0,0,0,0,0,0,5,57,2251,62,4,0,1,0.6127231085376268,0.8226933361156461,69.6,0,1,0,0,0
125,44,1,1,20211030,0,20,512.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,637,0,1,1,1,0,0,0,0,1,0,0,0
126,43,0,1,20210407,0,24,607.6,260,13,0,0,0,0,0,0,0,0,0,0,0,0,10,40.5,3256,60,3,5,1,0.3629235396962199,0.2976481206160481,23.2,0,1,0,0,0
127,62,1,1,20210330,0,16,524.6,94,7,6,2,0,0,2,0,4,0,2,0,0,61,4,54,1881,730,1,0,1,0.068183995,0.6027397260273972,54,0,0,0,1,0
128,54,1,1,20210521,0,28,981.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,58.6,1786,691,3,1,1,0.1701574763672431,0.6916577838324399,59.4,0,1,0,0,0
129,54,1,1,20210817,0,17,1066.9,0,0,8,0,0,0,0,4,0,1,3,0,0,235,5,39.3,2143,644,2,1,0,0.3610538838880204,0.8551511244246545,42.8,0,0,0,1,0
131,55,1,0,20211128,0,23,678.2,2,110,0,0,0,3,0,0,0,0,0,0,0,0,3,43.5,1454,299,1,1,1,0.6389805303141071,0.5405405405405406,25.4,0,1,0,0,0
132,50,0,0,20211102,0,18,167.4,94,12,0,0,1,0,0,0,0,0,0,0,0,0,8,44.5,2475,118,2,2,1,0.4196966224124699,0.5298050061358781,72.1,0,1,0,0,0
133,53,1,0,20210729,0,12,400.6,204,0,16,52,18,30,2,9,40,0,7,0,6,122,5,34.1,2991,792,2,1,1,0.3616585322783909,0.47329574,53.4,0,0,0,1,0
134,36,1,0,20210920,0,24,463.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,545,0,1,1,0,0,0,0,0,1,0,0,0
135,50,1,1,20210818,0,35,924.6,0,0,0,0,4,9,0,0,0,0,0,0,0,0,3,38.2,1641,352,1,1,1,0.9339152580363864,0.4166666666666666,0,0,1,0,0,0
136,52,1,1,20210817,0,18,711.3,35,8,3,0,0,0,0,3,0,0,0,0,0,323,4,82.1,1878,16,1,0,0,0.9816804833813348,0.06557377,0.9,0,0,1,0,0
137,42,0,1,20210915,0,24,524.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.5,244,0,2,0,0,0,0.6666666666666666,0,0,1,0,0,0
139,36,0,1,20210816,0,60,1066.9,162,0,0,1,0,0,0,0,1,0,0,0,0,1539,2,64.2,1700,77,1,0,1,0.1390189940998923,0.360655738,64.2,0,1,0,0,0
140,53,1,0,20210911,0,30,367.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,71.9,1255,0,1,1,1,0,0.7806899051134243,71.9,0,1,0,0,0
141,70,1,0,20210319,0,12,503.6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,14.8,933,0,3,1,1,0,0.7695716680690436,13.5,0,1,0,0,0
143,64,1,0,20210903,0,12,524.9,35,0,8,2,0,0,0,3,3,0,0,0,0,460,5,44.1,2199,1049,2,1,0,0.067953113,0.5839245977306131,114.4,0,0,1,0,0
144,69,1,1,20211211,0,24,248.1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,4,30,3012,1168,1,0,1,0.6707468579292972,0.1721311475409836,30,0,1,0,0,0
145,39,1,0,20210630,0,16,377.5,81,0,9,10,0,0,0,3,13,0,0,0,0,230,2,28.1,1447,271,1,0,1,0.3638892696999177,0.2244897959183673,0,0,0,1,0,0
146,46,0,0,20210221,0,12,215.1,0,58,1,0,0,0,1,0,0,0,0,0,0,112,4,57.7,1667,246,1,2,1,0.7031624939485068,0.5675675675675674,27.4,0,0,1,0,0
147,38,1,0,20210510,0,24,588.9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51.2,2408,340,1,0,0,0.396922555,0.5573770491803279,15.3,0,1,0,0,0
148,40,1,1,20210826,0,24,853.5,0,3,0,0,0,6,0,0,0,0,0,0,0,0,4,32,2642,295,1,0,1,0.6448099208553003,0.1475409836065574,0,0,1,0,0,0
149,41,1,1,20211113,0,24,334.9,310,125,0,55,2,33,0,0,37,0,5,0,1,1309,5,36,4790,227,1,2,1,0.5319799072801099,0.6318245538223827,40.8,0,1,0,0,0
150,38,1,1,20210801,0,32,800.2,76,0,1,0,0,0,0,1,0,0,0,0,0,321,2,36.6,718,44,1,2,1,0.024144092,0.6065573770491803,36.6,0,0,1,0,0
151,49,0,1,20210631,0,23,573.8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22.3,1527,290,1,3,0,0.4425427655256275,0.6097590803473155,25.4,0,1,0,0,0
153,36,0,0,20210608,0,11,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37.2,893,0,1,4,0,0,0.4424613312108736,0.7,0,1,0,0,0
154,38,1,1,20210615,0,48,1132.4,10,0,7,8,1,16,1,2,10,0,0,0,0,183,23,38.1,3506,33,8,7,1,0.1107122647282199,0.730115486,0,0,0,1,0,0
155,46,0,1,20210922,0,30,699.9,332,51,0,0,0,1,0,0,0,0,0,0,0,0,3,52.9,2517,693,1,1,0,0.3977987382224587,0.34375,0,0,1,0,0,0
156,65,1,0,20210620,0,11,1132.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,885,0,1,3,1,0,0.4918285158581412,15.4,0,1,0,0,0
157,52,1,0,20210516,0,12,196.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29.7,3174,0,2,0,1,0,0.3399421844993254,46.8,0,1,0,0,0
158,39,0,1,20210725,0,30,728.4,2598,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30.7,3039,76,1,3,1,0.394967432,0.2704726795061497,0,0,1,0,0,0
160,47,1,1,20210427,0,10,303.8,0,0,1,0,0,0,0,1,0,0,0,0,0,270,1,70.6,1153,0,1,0,0,0,0.360655738,70.6,0,0,1,0,0
161,45,1,1,20210921,0,35,1049.8,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64.2,1366,167,1,0,1,1,0,0,0,1,0,0,0
